sim_day_index,partition,prior_status,corrected_status,prior_runoff_m,corrected_runoff_m,prior_peakro_m_s,corrected_peakro_m_s,prior_flux_ratio,corrected_flux_ratio
1477,clean_to_clean,clean,clean,9.60056253540041149e-02,9.58778281198641169e-02,1.49842005971108198e-06,1.49642571962470522e-06,3.77329617509634301e-03,3.76990411332072750e-03
1478,clean_to_clean,clean,clean,4.94285953057487099e-02,4.92688020420585029e-02,1.11560505183448031e-06,1.11293513455759453e-06,1.94864767758496748e-04,1.94847042708966246e-04
1479,clean_to_clean,clean,clean,1.95259777954975497e-02,1.94109224131013246e-02,8.40454217053671484e-07,8.35882837374731200e-07,4.72991843007219016e-03,4.61433959877566215e-03
1480,refused_to_refused,refused,refused,1.49691765841355219e-02,3.36159632943418829e-02,6.25357892796068152e-07,6.29048560386169311e-07,7.65700816369176748e-03,7.97325281577514720e-03
1481,clean_to_clean,clean,clean,2.02490319769481099e-02,4.66517627080104552e-02,8.42394297843901610e-07,7.38903761450298719e-07,4.77916814216182428e-03,4.26173759701015977e-04
1482,clean_to_clean,clean,clean,2.53824718630470091e-02,5.27684881839946412e-02,1.72450104395789732e-06,1.68664138812776314e-06,3.93907556814483955e-03,3.93768548714570465e-03
1484,clean_to_clean,clean,clean,3.01514498363516167e-02,3.01514498363516098e-02,3.34509605114103959e-06,2.47430089838610456e-06,1.65774361890813084e-03,1.81823773504741172e-04
1486,clean_to_clean,clean,clean,5.00115864260860174e-02,5.00115864260860174e-02,6.88676618419067899e-06,3.84682689171130226e-06,3.36252085579952405e-04,1.21674712694802589e-03
1487,clean_to_refused,clean,refused,1.89414080306115444e-02,1.89414080306115409e-02,1.29351445468674732e-06,9.52436980127241687e-07,1.95491166956476993e-04,7.64034733018349732e-03
1506,clean_to_clean,clean,clean,3.87977808507786043e-02,4.48246216011560089e-02,2.65554544707319681e-06,1.65052681348082194e-06,1.78446408674510837e-04,3.92763290891848683e-03
1513,clean_to_clean,clean,clean,2.11878950136107636e-02,1.88253680775200723e-02,2.13822896606244026e-06,7.12456445934196592e-07,1.87467670828041227e-04,3.61847210821428288e-04
1514,clean_to_clean,clean,clean,7.50789552544703642e-02,7.50789552544703781e-02,5.85007536045456498e-06,2.49153384932651983e-06,9.43461334486791060e-04,1.81524664376831292e-04
1530,clean_to_clean,clean,clean,1.91979544951103240e-02,1.91979544951103240e-02,2.24104789767496224e-06,1.42939291613889028e-06,1.85793280868365066e-04,3.63256878035028881e-03
1531,clean_to_clean,clean,clean,2.09946052708450716e-02,2.09946052708450716e-02,1.80953840161715695e-06,1.43205858028922926e-06,3.90793361113385418e-03,3.63892119905289985e-03
1532,clean_to_clean,clean,clean,1.96659913202665362e-02,1.96659913202665362e-02,1.77325081607987089e-06,1.19468032515976319e-06,3.92673149385684445e-03,1.95276211928452738e-04
1547,clean_to_clean,clean,clean,1.81858518350711262e-02,1.81858518350711262e-02,1.29567267990619633e-06,1.27431856026815370e-06,1.95492736858015947e-04,1.95470684997086584e-04
1548,clean_to_refused,clean,refused,1.36957797541425730e-02,1.36957797541425730e-02,7.65556201291106024e-07,6.66308479326447587e-07,5.04357850478592482e-04,1.15012294987248340e-02
1580,clean_to_clean,clean,clean,1.30867650789080140e-02,1.30867650789076861e-02,1.54579531279920378e-06,1.08880229425688489e-06,3.84277552322564737e-03,1.94675497148677127e-04
1584,clean_to_clean,clean,clean,1.09545416985563186e-02,1.09545416985563169e-02,1.72237661894968329e-06,1.23744166864562329e-06,3.93923042107454258e-03,1.95407700967309731e-04
1585,clean_to_clean,clean,clean,2.05868338542633776e-02,2.05868338542633776e-02,4.12942115711566679e-06,2.97997332552364759e-06,1.03919960758816227e-03,1.72055101373200882e-04
1586,clean_to_refused,clean,refused,1.52474943795908053e-02,1.52474943795907984e-02,1.97723628081728027e-06,9.80485255577300976e-07,3.75798549990888483e-03,8.34820948419122758e-03
1587,clean_to_clean,clean,clean,2.22667676218720120e-02,2.22667676218720120e-02,6.98438760615149833e-06,3.84651369260966345e-06,3.26360115988655840e-04,1.21696751548631922e-03
1614,clean_to_clean,clean,clean,9.05250170973861262e-03,7.21820826670038773e-03,4.49078091014078519e-06,3.32049572367906002e-06,1.46404921148594403e-04,1.68479969448368828e-03
1765,clean_to_clean,clean,clean,2.39384108393373603e-02,2.92829503686663078e-02,3.33348521785189067e-06,1.73527079567962385e-06,1.67043830805586142e-03,3.93788293833707750e-03
1766,clean_to_clean,clean,clean,3.73665638701461481e-02,3.73665638701461550e-02,1.74729056023758559e-06,1.39732621780295110e-06,3.93576606328474576e-03,3.55014390887549653e-03
1767,clean_to_clean,clean,clean,1.83547096267427899e-02,1.83547096267427864e-02,1.54070397906132101e-06,1.09961140600468801e-06,3.83630354179141826e-03,1.94754853016168252e-04
1768,refused_to_clean,refused,clean,1.24693732479393034e-02,1.24693732479393034e-02,9.49384938966649737e-07,7.11054293930722198e-07,7.56208298117568966e-03,3.58797250112837559e-04
1776,clean_to_clean,clean,clean,2.44586828755645642e-02,2.44586828755648418e-02,1.77421239072598235e-06,1.34160508213845940e-06,3.92631026363960550e-03,1.95489495945492544e-04
1777,clean_to_clean,clean,clean,2.33654558535484440e-02,2.33654558535484440e-02,2.46443187500897450e-06,1.68152278383656857e-06,1.81994704938558257e-04,3.93679804491699464e-03
1778,clean_to_clean,clean,clean,4.40527306218903153e-02,4.40527306218903222e-02,1.68210293135299982e-06,1.64715912264876628e-06,3.93690731099430227e-03,3.92623220164458903e-03
1779,clean_to_clean,clean,clean,1.77817949812275125e-02,1.77817949812275056e-02,1.32905489926274400e-06,7.54534343633543586e-07,1.95497265676663871e-04,4.70384135928563992e-04
1781,clean_to_clean,clean,clean,2.45535945421914911e-02,2.42373828728487430e-02,1.65305737515585932e-06,1.19058944599597185e-06,3.92863199429319566e-03,1.95260303794645579e-04
1782,clean_to_clean,clean,clean,7.19657149841315680e-02,7.22819266534742988e-02,2.94820651715595721e-06,2.61860020511929317e-06,1.72672641292466981e-04,1.79184891991430572e-04
1783,clean_to_absent,clean,absent,2.88964163125564853e-02,,8.40507593356841697e-07,,4.73127186983465179e-03,
1784,clean_to_clean,clean,clean,2.47078260051649991e-02,3.09505875427909007e-02,3.01575910774595353e-06,1.11081912756909968e-06,1.71361778270755867e-04,1.94832817294114284e-04
1785,clean_to_clean,clean,clean,3.08543236790998869e-02,4.17737416768314135e-02,3.41287295174805566e-06,1.55866648014047296e-06,1.58623686614667975e-03,3.85810587532726956e-03
1786,refused_to_refused,refused,refused,1.04776188635996529e-02,1.97735989528918382e-02,9.18192923959219398e-07,9.49029025930117753e-07,6.75251635580945142e-03,7.55294267845482876e-03
1787,clean_to_clean,clean,clean,2.23276958521959508e-02,2.23276958521956698e-02,1.33080321022072813e-06,8.43161698702679375e-07,1.95496490519619578e-04,4.79868015272977202e-03
1808,refused_to_clean,refused,clean,2.32148357186218214e-02,2.32212143424900333e-02,9.28445618690218738e-07,5.66347102505989804e-07,7.02021296442348428e-03,3.57355322903975823e-03
1809,clean_to_refused,clean,refused,1.73743440596135258e-02,1.73743440596135224e-02,1.10793230793203757e-06,8.72289084901739202e-07,1.94813156621276691e-04,5.54984468180894520e-03
1810,clean_to_refused,clean,refused,2.48483037067761710e-02,1.72601937237233417e-02,1.83604005342651984e-06,2.62973330351930266e-07,3.89066454708939359e-03,1.36899308394343167e-02
1811,clean_to_refused,clean,refused,3.28920800476527539e-02,4.05697125732627020e-02,1.33276833896717324e-06,6.60984526470602599e-07,1.95495500209128496e-04,1.09657064369640539e-02
1812,clean_to_clean,clean,clean,2.82933063184099276e-02,2.82933063184099276e-02,1.53727160038093653e-06,1.06193152479920434e-06,3.83180814117495142e-03,1.94464580768885444e-04
1817,clean_to_clean,clean,clean,2.16387305828272258e-02,2.16387305828272224e-02,1.76114158902713316e-06,1.11259306413887696e-06,3.93166046544863451e-03,1.94844753694371596e-04
1818,clean_to_clean,clean,clean,2.06441327512216881e-02,2.06441327512216881e-02,1.09466263413181512e-06,5.71862192762277822e-07,1.94719028116151297e-04,3.87505788950086956e-03
1819,clean_to_clean,clean,clean,2.91817808285742483e-02,2.91817808285742483e-02,1.18997553739914112e-06,1.14860220416782862e-06,1.95257866078445618e-04,1.95063156054674051e-04
1820,refused_to_clean,refused,clean,4.18388974569827224e-02,4.18388974569827155e-02,1.00436785790804435e-06,7.59749830785490845e-07,8.92590742081124898e-03,4.86171646104580730e-04
1821,clean_to_clean,clean,clean,5.60468276718648836e-02,5.60468276718648836e-02,4.06454862949145181e-06,2.17035021125298156e-06,1.07645711454406223e-03,1.86951952366016025e-04
1822,clean_to_clean,clean,clean,4.08045852299538311e-02,4.08045852299538242e-02,2.25523438820189140e-06,1.63550880575368559e-06,1.85557265414335433e-04,3.92075129499247239e-03
1823,clean_to_clean,clean,clean,3.41985345500676191e-02,3.41985345500676260e-02,2.21186534498559612e-06,1.33844888883993700e-06,1.86275232677383912e-04,1.95491931137122189e-04
1824,clean_to_clean,clean,clean,4.86972823044005271e-02,4.86972823044005271e-02,1.84599821998683212e-06,1.59884911792561963e-06,3.88345932258591384e-03,3.89681026331973506e-03
1828,clean_to_absent,clean,absent,2.99065062083407988e-02,,2.59948385009237648e-06,,1.79567717515469752e-04,
1830,clean_to_refused,clean,refused,3.06013694334847895e-02,3.02837077413364644e-02,1.14787880569377624e-06,8.86357327578778773e-07,1.95059217112188285e-04,5.91763545017783780e-03
1831,clean_to_clean,clean,clean,2.40042003215002464e-02,2.43218620136485646e-02,1.83059819731549247e-06,1.08891681503721352e-06,3.89444033313308827e-03,1.94676359306324810e-04
1857,clean_to_clean,clean,clean,1.75633703414504461e-02,1.75633702450525217e-02,3.79372312847411423e-06,2.17940642786808761e-06,1.25494864582901839e-03,1.86805274027573322e-04
1858,clean_to_clean,clean,clean,1.15700714239074728e-02,1.15700714239074746e-02,7.69200167942197578e-07,7.69200167942197684e-07,5.16098955724161152e-04,5.16098955724129385e-04
1876,clean_to_clean,clean,clean,2.42930184369646376e-02,2.42930184369646342e-02,1.24076936272334462e-06,1.18146982003088095e-06,1.95415286732426673e-04,1.95222735842521947e-04
1879,clean_to_clean,clean,clean,2.51341280485560814e-02,2.51341280485560814e-02,2.15844253669549969e-06,1.57669365715618191e-06,1.87143974273357513e-04,3.87714982190289154e-03
1880,clean_to_clean,clean,clean,9.73831986154637813e-02,9.73831986154637813e-02,5.83960009936922547e-06,3.68781707404797084e-06,9.47889997549711391e-04,1.33642455604949086e-03
1881,clean_to_clean,clean,clean,2.76777939494493308e-02,2.76777939494493239e-02,2.17586187077066039e-06,1.75524855527846229e-06,1.86862747898724113e-04,3.93380274800068323e-03
1897,clean_to_clean,clean,clean,1.03368462610612440e-02,1.03368462610612440e-02,1.93033997828249177e-06,8.30432248513711408e-07,3.80865779907060701e-03,4.47744951591645072e-03
1900,absent_to_clean,absent,clean,,6.61221009016056821e-02,,2.35518234740166211e-06,,1.83866577771662413e-04
1901,absent_to_clean,absent,clean,,2.93214403909460644e-02,,8.14741540766626257e-07,,6.83775715536639669e-04
1903,absent_to_clean,absent,clean,,1.69218115710013731e-02,,3.73834476876815516e-07,,7.21750612847049970e-04
1904,clean_to_clean,clean,clean,1.15937967878989544e-02,3.31168577351447571e-02,2.00159138429319718e-06,5.47837462100532030e-07,3.72955846079191331e-03,2.67486697132239852e-03
1905,clean_to_refused,clean,refused,1.75389299656836112e-02,2.32442712503906843e-02,1.90560305085017530e-06,1.01000810289412843e-06,3.83295617868522091e-03,9.05801368290762472e-03
1906,clean_to_clean,clean,clean,4.47848661097309531e-02,5.06360487512963683e-02,5.97022815825533459e-06,1.40702851970449556e-06,8.94788679004179474e-04,3.57626296238236540e-03
1907,clean_to_clean,clean,clean,1.05441009725138202e-02,1.33903009490558434e-02,2.53534841459875506e-06,1.29741744505314065e-06,1.80760860578967080e-04,1.95493891691268519e-04
1912,refused_to_refused,refused,refused,1.65940062848688105e-02,1.65940062848690811e-02,8.63014318955142188e-07,8.63014318955142505e-07,5.30876654207073327e-03,5.30876654207074108e-03
1923,clean_to_clean,clean,clean,1.39381065931392777e-02,1.39381065931392760e-02,2.16002750734856000e-06,1.42908253466378114e-06,1.87118471198843568e-04,3.63182419549035705e-03
1924,clean_to_clean,clean,clean,1.38111249833397735e-02,1.38111249833394924e-02,1.88582990069897101e-06,1.17476986462690106e-06,3.85103327322757144e-03,1.95193281157132379e-04
2131,clean_to_clean,clean,clean,1.44553266562279653e-02,1.44553266553184637e-02,1.50403462593944175e-06,1.09680597387151134e-06,3.78263817798890579e-03,1.94734649233589344e-04
2135,clean_to_clean,clean,clean,2.50168088354369399e-02,2.50168088354369399e-02,1.16775876622713463e-06,8.35441032814668090e-07,1.95160774094039704e-04,4.60320558898758090e-03
2136,clean_to_refused,clean,refused,1.43421384960389555e-02,1.43421384960389503e-02,1.30341549647820767e-06,8.54291268901374454e-07,1.95497084036984066e-04,5.08348482648170001e-03
2165,clean_to_clean,clean,clean,4.83768966819120919e-02,4.83768966819120849e-02,2.26147423777986271e-06,1.65094931565560943e-06,1.85453114545853517e-04,3.92780289517724417e-03
2167,clean_to_refused,clean,refused,1.53490266971025059e-02,1.53490266971025059e-02,7.71349723759052783e-07,6.11654075127077666e-07,5.23143278194784594e-04,6.54168938643748601e-03
2168,clean_to_clean,clean,clean,3.90791693074920982e-02,3.90791693074920912e-02,2.33706134482255708e-06,1.60004963061222966e-06,1.84176396739917753e-04,3.89776099015411983e-03
2169,clean_to_clean,clean,clean,2.80383990200538218e-02,2.80383990200538218e-02,1.26751789551479121e-06,1.24586719182166738e-06,1.95462537410867306e-04,1.95426172094822560e-04
